source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
o,2.01309E+13,9/6/2013,2013-09,WILLIAMS,15509524,No,ExxonMobil/XTO,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,9/3/2013,2013-09,DUNN,14709622,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01308E+13,8/9/2013,2013-08,BOTTINEAU,16308221,No,Murex,Valve,0,0,0,0,0,0,0,"There is no volume reported for this large spill, which required 600 dump-truck loads of contaminated soil to be removed."
o,2.01307E+13,7/29/2013,2013-07,MCKENZIE,15109506,No,Mbi,Other,0,0,0,0,0,0,0,
o,2.01307E+13,7/16/2013,2013-07,MCKENZIE,15010206,No,Petro-Hunt,Other,0,0,0,0,0,0,0,
o,2.01305E+13,5/29/2013,2013-05,MCKENZIE,14810512,No,ExxonMobil/XTO,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,5/25/2013,2013-05,MCKENZIE,14909702,No,Abraxas Petroleum Corp.,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,5/16/2013,2013-05,BURKE,15909033,No,EOG Resources,Pipeline,0,0,0,0,0,0,0,This appears to be a significant spill but no volume is reported.
o,2.01305E+13,5/10/2013,2013-05,MCKENZIE,15210019,No,Oasis Petroleum,Treater,0,0,0,0,0,0,0,
o,2.01305E+13,5/8/2013,2013-05,WILLIAMS,15510414,No,Continental Resources,Other,0,0,0,0,0,0,0,
o,2.01305E+13,5/3/2013,2013-05,MOUNTRAIL,15209215,No,WPX,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,4/27/2013,2013-04,WILLIAMS,15509812,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,5/2/2013,2013-05,DIVIDE,16009711,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01304E+13,4/25/2013,2013-04,DUNN,14809434,No,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,3/2/2013,2013-03,WILLIAMS,15809509,Yes,Abraxas Petroleum Corp.,Fire,0,0,0,0,0,0,0,
o,2.01212E+13,12/6/2012,2012-12,MCKENZIE,15009930,No,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01212E+13,12/4/2012,2012-12,WILLIAMS,15310223,Yes,"Ulmer Energy, Llc",Valve,0,0,0,0,0,0,0,
o,2.01212E+13,12/2/2012,2012-12,MOUNTRAIL,15709218,Yes,Oasis Petroleum,Pipeline,0,0,0,0,0,0,0,
o,2.01303E+13,3/16/2013,2013-03,BOTTINEAU,16307924,Yes,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.01306E+13,3/15/2013,2013-03,MCKENZIE,15109907,Yes,"Redemption Energy, Llc",Other,0,0,0,0,0,0,0,
o,2.01302E+13,2/20/2013,2013-02,MCKENZIE,14909431,Yes,Enerplus Resources,Fire,0,0,0,0,0,0,0,
o,2.01302E+13,2/8/2013,2013-02,BOWMAN,13010433,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01302E+13,2/6/2013,2013-02,WILLIAMS,15609912,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01302E+13,2/3/2013,2013-02,DIVIDE,16210015,Yes,Baytex,Fire,0,0,0,0,0,0,0,
