source	incident_id	incident_date	county	range	contained	company	incident_type	total_gallons	chem_gallons	water_gallons	oil	brine	other	water	note
o	20131113104405	2013-10-12	MCKENZIE	15009528	Yes	QEP	Valve	210	210	0	210	0	0	0	""
o	20131106065317	2013-11-04	MCKENZIE	15109601	Yes	ConocoPhillips/Burlington Resources	Overflow	210	210	0	0	0	210	0	""
o	20131106114627	2013-11-06	WILLIAMS	15310209	Yes	Zenergy	Valve	210	210	0	210	0	0	0	""
o	20131031120615	2013-10-30	RENVILLE	16208532	Yes	Enduro Operating	Stuffing Box	210	210	0	210	0	0	0	""
o	20131029154332	2013-10-27	DIVIDE	16109601	Yes	Continental Resources	Overflow	210	210	0	0	210	0	0	""
o	20131028092757	2013-10-26	MOUNTRAIL	15009205	Yes	WPX	Overflow	210	210	0	210	0	0	0	""
o	20131028100348	2013-09-21	BURKE	16309116	Yes	Enduro Operating	Treater	210	210	0	210	0	0	0	""
o	20131016085418	2013-10-15	DUNN	14709402	Yes	HRC Operating	Overflow	210	210	0	210	0	0	0	""
o	20131014190039	2013-09-13	DUNN	14709310	Yes	Kodiak Oil & Gas	Valve	210	210	0	0	0	210	0	""
o	20131012082313	2013-10-11	WILLIAMS	15409503	Yes	ExxonMobil/XTO	Other	210	210	0	210	0	0	0	""
o	20131011193356	2013-10-11	MCKENZIE	15209613	Yes	MBI	Tank Leak	210	210	0	210	0	0	0	""
o	20131005193223	2013-10-05	MOUNTRAIL	15409321	Yes	Hess Corporation	Tank Leak	210	210	0	210	0	0	0	""
o	20131001153348	2013-09-30	BILLINGS	14409830	Yes	Oxy	Stuffing Box	210	210	0	126	84	0	0	""
o	20130925102226	2013-09-24	WILLIAMS	15709504	Yes	Texakota, Inc.	Treater	210	210	0	210	0	0	0	""
o	20130921162013	2013-09-21	DIVIDE	16009601	Yes	Continental Resources	Valve	210	210	0	0	0	210	0	""
o	20130918091202	2013-09-17	DUNN	14909207	Yes	Kodiak Oil & Gas	Valve	210	210	0	84	126	0	0	""
o	20130917181907	2013-09-17	MCKENZIE	14909403	Yes	WPX	Overflow	210	210	0	210	0	0	0	""
o	20130913191350	2013-09-12	WILLIAMS	15709924	Yes	Baytex	Pipeline	210	210	0	84	126	0	0	""
o	20130912152645	2013-09-12	WILLIAMS	15609519	Yes	Hess Corporation	Pipeline	210	210	0	0	0	210	0	""
o	20130909094101	2013-09-07	BOTTINEAU	16108224	Yes	Denbury Onshore	Valve	210	210	0	42	168	0	0	""
o	20130907152238	2013-09-06	MCKENZIE	15209317	Yes	HRC Operating	Other	210	210	0	84	126	0	0	""
o	20130830152409	2013-08-30	MCKENZIE	15209626	Yes	Petro-Hunt	Stuffing Box	210	210	0	84	126	0	0	""
o	20130829111921	2013-08-28	DUNN	14909132	Yes	ExxonMobil/XTO	Pump	210	210	0	0	210	0	0	""
o	20130827232913	2013-08-27	MCKENZIE	15009904	Yes	ExxonMobil/XTO	Tank Leak	210	210	0	0	0	210	0	""
o	20130826084510	2013-08-24	DUNN	14509728	Yes	Hess Corporation	Other	210	210	0	210	0	0	0	""
o	20130823090017	2013-08-21	BOTTINEAU	16208331	Yes	Williston Hunter	Tank Leak	210	210	0	210	0	0	0	""
o	20130814172435	2013-08-14	DUNN	14809422	Yes	HRC Operating	Other	210	210	0	210	0	0	0	""
o	20130806144343	2013-06-12	MCKENZIE	14709931	Yes	Gmx	Overflow	210	210	0	0	210	0	0	""
o	20130802145157	2013-08-01	DUNN	14809214	Yes	ExxonMobil/XTO	Tank Leak	210	210	0	210	0	0	0	""
